pvalue;logFC;gene
0.00893929474263217;6.69752201062195;UNC13C
0.00893929474263217;6.69752201062195;ARHGEF7-AS2
0.00893929474263217;6.69752201062195;RPL5P29
0.00893929474263217;6.69752201062195;LINC01451
0.00893929474263217;6.69752201062195;LOC105379327
0.00893929474263217;6.69752201062195;PPDPFL
0.00893929474263217;6.69752201062195;PAGE2B
0.00893929474263217;6.69752201062195;EEF1A1P26
0.00893929474263217;6.69752201062195;ABCB5
0.00893929474263217;6.69752201062195;LINC01215
0.00893929474263217;6.69752201062195;LINC02066
0.00893929474263217;6.69752201062195;ZBED6
0.00936875682080626;6.68106875410437;FGF11
0.00936875682080626;6.68106875410437;LOC283387
0.00936875682080626;6.68106875410437;CYP26C1
0.00936875682080626;6.68106875410437;RPL10P3
0.00936875682080626;6.68106875410437;NUGGC
0.00936875682080626;6.68106875410437;KIAA0408
0.00936875682080626;6.68106875410437;LOC107986482
0.00936875682080626;6.68106875410437;RPL10AP9
0.00936875682080626;6.68106875410437;RASSF1-AS1
0.00936875682080626;6.68106875410437;GRM7
0.00936875682080626;6.68106875410437;MIR8083
0.00936875682080626;6.68106875410437;RNA5S9
4.20097103977154e-74;6.6780771466039;LVRN
0.0109155324696751;6.66424846694886;PVALB
0.0109155324696751;6.66424846694886;LOC105371824
0.0109155324696751;6.66424846694886;ALOX15
0.0109155324696751;6.66424846694886;GGT6
0.0109155324696751;6.66424846694886;LOC105370256
0.0109155324696751;6.66424846694886;SCEL
0.0109155324696751;6.66424846694886;LOC124902684
0.0109155324696751;6.66424846694886;SLC22A25
0.0109155324696751;6.66424846694886;HGFAC
0.0109155324696751;6.66424846694886;IFNLR1
9.70920262291652e-07;6.62826366151269;SFTA1P
1.23900624184132e-20;6.51567495026337;RHOXF1-AS1
3.44259002442141e-30;6.5137536164704;SIX1
2.21583365721623e-06;6.51304062009835;KRT71
1.98082024084619e-13;6.47935646545213;HCAR2
2.2435689266949e-170;6.46223368743877;KCNIP2
1.0293341458317e-122;6.45582429648042;S100B
4.62897064936617e-06;6.44943967513177;MTND4P12
3.58835346056594e-06;6.44300297611899;SMIM1
3.1336210010062e-17;6.38056129258672;PPBP
4.14378830840819e-23;6.3268900012267;PKP1
8.68339853240591e-06;6.32664480700276;DMRT3
8.69881111874119e-06;6.31125904670604;GABRA2
1.28662589114772e-05;6.2506649273314;SNORA23
1.28986782104326e-05;6.24663917598564;KIF12
1.42181876069653e-09;6.2049350113311;MTHFS
1.68058561116826e-07;6.19657278104969;RPS18P2
1.2957153859317e-20;6.17835570845096;CPB1
0.00355003622895203;6.10764869219815;CLEC9A
0.00348596748376626;6.09867248316652;EEF1A1P44
6.86836840944897e-09;6.08562044626484;SCARNA5
8.65276823985732e-73;6.07207067933017;MSTN
1.88176458298468e-66;6.06986557354387;NNAT
3.05949925962242e-12;6.03396347020623;EGFL6
1.3328856448818e-26;5.97483824753625;LUCAT1
9.76389035936667e-62;5.96089587144092;EPB41L4B
1.03580037771496e-09;5.94751882373536;LINC02104
9.17479864432514e-05;5.93475354488598;MS4A1
0.00587096505004313;5.93429447123333;RPS3AP5
0.00587096505004313;5.93429447123333;LOC124900965
3.55781871225123e-08;5.92219968143635;CMTM2
6.96739737367867e-313;5.91613265547575;PRKAR2B
9.96995175570126e-05;5.91461297089094;GLIS2-AS1
9.96995175570126e-05;5.91461297089094;SCN2A
2.33042021746508e-24;5.91216006413825;CNTFR
1.55805121409822e-17;5.89236986986968;KANK4
1.53872283915548e-31;5.87569461165733;PKD1L2
0.000149205484046668;5.83961614822845;LINC01036
0.000149682672876476;5.82891939413104;RHOF
1.90635960472591e-21;5.8255221896645;MCOLN3
9.50417122851573e-58;5.82191187082112;NAT8L
2.79940223546696e-22;5.77518714032705;CYP4F12
0.0100619544283814;5.73814424838838;MTATP8P1
0.000259435392102284;5.72632211991328;MESTIT1
1.93487123757084e-91;5.72213316323276;CD300LG
6.20320954288809e-10;5.72042865057004;LINC01239
2.67676954245065e-14;5.71039598889531;EHF
4.1904681054045e-118;5.70274546409841;LIPE
0.000504051792196866;5.70239730835269;LINC02227
8.03357467139966e-17;5.69782273682698;NRGN
1.57098517911156e-213;5.6843318454444;CIDEC
4.77181967411635e-14;5.68213053392872;HCAR1
4.29658294816338e-07;5.68109197447534;MPHOSPH10P1
2.06230772145701e-105;5.67599209259692;PLIN5
7.39407038369484e-27;5.64952387273996;LOC105375977
2.37075778222698e-17;5.62932745735301;ALDH1L1
0.000461357795881803;5.61586445406526;AGMO
3.35003377723223e-09;5.61153743020736;IFIT1B
0.00132441536018401;5.54393569040748;THSD7B
0.000998227590319212;5.53670773120085;ANKRD30A
0.0179286477306107;5.5224483407141;LOC100507562
0.0179739011962479;5.5100262445668;RPS3P6
0.000732015176376745;5.50965982999979;NWD2
0.000732015176376745;5.50965982999979;LINC01305
0.000732015176376745;5.50965982999979;TTLL10
0.0179887071708319;5.50906762750609;NTN5
0.0179887071708319;5.50906762750609;STPG3
7.06488064301364e-09;5.50744624360641;GDF10
1.39713708215418e-32;5.50657439422024;CA4
0.000767812742271483;5.50298386191541;S100A14
0.000843867208613763;5.4962321668055;FCRL3
6.54193535580438e-20;5.48627355366257;PRRT4
0.00121493693986771;5.48223774690779;BTNL3
2.17095529620985e-283;5.47597140573364;S100A8
2.56316089644088e-09;5.4272059577849;LY86-AS1
0.00140328418004278;5.40233765972975;VNN3P
2.33968300679818e-21;5.40190412236888;YBX2
0.00130108875141675;5.39500697453861;CTNND2
0.00130520345257527;5.38049681162832;TMEM238
6.90305579750984e-06;5.37682934307657;CCR3
4.1399832413556e-10;5.37306242546338;C16orf95-DT
0.00219573253579803;5.36643619610293;PCSK1
0.00220135024080467;5.36440758416471;LOC124902947
0.00193592733416835;5.35808589019741;CXCL5
2.03453995303959e-19;5.33374024018394;LRRN3
0.000137504496659715;5.32999120221813;LOC105370792
2.18632638342278e-20;5.32856112936671;RPS3AP26
1.29547279415732e-188;5.30809459844685;RN7SL1
5.13822708415479e-17;5.30428634101437;CYP4F3
4.64136909755753e-47;5.29174887771866;CALB2
1.03331872525622e-09;5.28521238638593;LOC105371094
0.00267852004231014;5.2707286427935;TMEM139
0.00238366540617197;5.26258007489076;SLC6A14
0.00226576603278715;5.25457569322819;LARGE2
0.00226576603278715;5.25457569322819;PAQR9
1.83826255453764e-08;5.24994813900101;DMKN
2.01163868798595e-12;5.24893860231602;STAC2
0.00310353406161918;5.24767747022031;LOC254896
3.28919732582249e-20;5.23928491950956;ANGPTL8
0.00239360243570455;5.23862986457653;CAMSAP3
