"pvalue";"logFC";"gene"
"1,08E-12";"3,381922776";"C2CD4A"
"1,49E-12";"3,373613441";"GIMAP7"
"1,53E-12";"3,372938914";"GATA4"
"1,64E-12";"3,371560697";"PRKCB"
"1,62E-12";"3,371508157";"DOCK8"
"1,78E-12";"3,369399028";"LAIR1"
"1,35E-13";"3,366868018";"COL6A3"
"2,16E-12";"3,364717175";"CLEC2B"
"2,12E-12";"3,364605323";"PARVG"
"2,43E-12";"3,361107278";"GSTM4"
"2,67E-12";"3,358731912";"MS4A4A"
"2,87E-12";"3,356834716";"ANKRD22"
"3,33E-12";"3,352812073";"MPEG1"
"3,55E-12";"3,351721463";"EPSTI1"
"4,83E-23";"3,345694387";"LCP1"
"4,47E-12";"3,345152813";"PTPN7"
"3,17E-13";"3,344871701";"POSTN"
"4,89E-12";"3,342654199";"PDE4B"
"4,99E-12";"3,342140406";"CD38"
"5,59E-12";"3,340288785";"S100A9"
"5,84E-12";"3,338168183";"LAMA4"
"6,05E-12";"3,337228972";"CMKLR1"
"6,29E-12";"3,336245863";"FGR"
"6,68E-12";"3,335060476";"CXCL12"
"6,81E-12";"3,333895558";"CXCL1"
"7,19E-12";"3,332907792";"FGD2"
"9,97E-12";"3,323761716";"ABCG1"
"1,00E-11";"3,323623628";"EMC10"
"1,06E-11";"3,322073378";"HBB"
"1,16E-11";"3,319487614";"CXCL14"
"1,46E-11";"3,313235698";"CTLA4"
"1,48E-11";"3,312882789";"CYP2C9"
"1,53E-11";"3,311891617";"CD69"
"1,58E-11";"3,311073519";"ITM2A"
"1,21E-12";"3,310689194";"PCSK5"
"1,68E-11";"3,309637743";"VWF"
"1,71E-11";"3,309308032";"CASP1"
"2,12E-11";"3,30323734";"CCR5"
"2,30E-11";"3,301720977";"CD86"
"2,24E-11";"3,301471287";"IL2RG"
"2,81E-11";"3,298947691";"MGP"
"2,48E-11";"3,29875111";"PPP1R16B"
"2,88E-11";"3,294513373";"HCK"
"3,06E-11";"3,293254731";"TMPRSS3"
"3,27E-11";"3,291207407";"CCL2"
"2,49E-12";"3,290787811";"CD84"
"2,68E-12";"3,288571069";"CA9"
"3,73E-11";"3,287334163";"COL15A1"
"5,95E-31";"3,284106437";"LAPTM5"
"3,93E-12";"3,278523974";"PLCB2"
"6,03E-11";"3,274299737";"RCSD1"
"6,11E-11";"3,274189923";"PIK3R5"
"6,20E-11";"3,273809313";"MNDA"
"6,25E-11";"3,272712809";"CLRN3"
"6,45E-11";"3,271701368";"COL5A3"
"6,60E-11";"3,271608998";"PLA2G2D"
"7,82E-11";"3,266186118";"TPPP3"
"6,14E-12";"3,265981008";"KIF1A"
"8,15E-11";"3,26513884";"CD48"
"8,21E-11";"3,264795939";"SYK"
"8,67E-11";"3,263607825";"SORL1"
"9,10E-11";"3,261868305";"SASH3"
"7,05E-12";"3,261698934";"CD9"
"9,31E-11";"3,261187533";"SLC1A7"
"1,00E-10";"3,259071416";"JAML"
"1,07E-10";"3,257646662";"NFATC2"
"1,13E-10";"3,255471008";"CD93"
"9,30E-12";"3,254015153";"FAM83A"
"9,48E-12";"3,253614276";"CPVL"
